2025-03-04 09:44:52.526 | INFO     | apps.rag.services:initialize:73 | RAG service initialized successfully
2025-03-04 09:44:52.526 | INFO     | core.startup:initialize_vector_stores:18 | RAG service initialized successfully
2025-03-04 09:44:52.526 | INFO     | core.startup:startup_event_handler:27 | Running application startup tasks...
2025-03-04 09:44:52.526 | ERROR    | __main__:lifespan:37 | Failed to start application: This event loop is already running
2025-03-04 09:47:58.475 | INFO     | __main__:lifespan:20 | Starting up application...
2025-03-04 09:47:58.482 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 09:47:58.509 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 09:47:58.509 | INFO     | __main__:lifespan:29 | Initializing vector stores...
2025-03-04 09:47:58.509 | INFO     | core.startup:initialize_vector_stores:9 | Initializing vector stores at application startup...
2025-03-04 09:48:34.184 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:48:34.313 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:48:34.372 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:48:34.372 | INFO     | core.startup:initialize_vector_stores:13 | Vector stores initialized successfully
2025-03-04 09:48:43.052 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:48:43.099 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:48:47.600 | INFO     | apps.rag.services:initialize:73 | RAG service initialized successfully
2025-03-04 09:48:47.600 | INFO     | core.startup:initialize_vector_stores:18 | RAG service initialized successfully
2025-03-04 09:48:47.600 | INFO     | __main__:lifespan:31 | Vector stores initialized successfully
2025-03-04 09:50:39.301 | INFO     | apps.chat.routes:process_query:447 | Processing query request: explain it for conversation: d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 09:50:52.179 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:50:52.203 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:50:52.259 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:50:56.684 | INFO     | apps.rag.services:initialize:73 | RAG service initialized successfully
2025-03-04 09:50:59.699 | WARNING  | apps.rag.services:_generate_search_queries:513 | Error generating search queries, falling back to basic expansion: 
2025-03-04 09:50:59.699 | DEBUG    | apps.rag.services:hybrid_search:360 | Generated search queries: {'semantic_queries': ['explain it'], 'keyword_terms': ['explain', 'it'], 'arabic_terms': [], 'filters': {}}
2025-03-04 09:51:09.996 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:51:10.034 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:51:19.420 | DEBUG    | apps.rag.services:hybrid_search:374 | Found 0 semantic search results
2025-03-04 09:51:19.420 | DEBUG    | apps.rag.services:hybrid_search:381 | Trying keyword search with: explain it
2025-03-04 09:51:44.012 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:51:44.200 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:51:44.208 | DEBUG    | apps.rag.services:hybrid_search:403 | Trying broader search without conversation filter
2025-03-04 09:52:25.047 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:52:25.711 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:52:25.819 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
